ID,ID2,BRAND,TITLE,CATEGORY,UPC,MSRP,COST
,19007,Hydrofarm,60W Prop Mat 48 x12 (16/cs),Seed Starting,638104016186,49.95,31.59
,AAC100,Active Aqua,1in Straight Connector,Pumps & Irrigation,638104005227,0.96,4.68
,AAC50,Active Aqua,1/2in Straight Connector,Pumps & Irrigation,638104005258,0.36,2.45
,AAC75,Active Aqua,3/4in Straight Connector,Pumps & Irrigation,638104005241,0.75,3.75
,AACH10,Active Aqua,Active Aqua Chiller 1/10 HP,Pumps & Irrigation,638104000468,379.95,227.97
,AACH100,Active Aqua,Active Aqua Chiller 1 HP,Pumps & Irrigation,638104000451,1545,927
,AACH25,Active Aqua,Active Aqua Chiller 1/4 HP,Pumps & Irrigation,638104000475,524.95,314.97
,AACH50,Active Aqua,Active Aqua Chiller 1/2 HP,Pumps & Irrigation,638104000482,944.95,566.97
,AACHF1,Active Aqua,Active Aqua Chiller Fitting Kit for AACH10,Pumps & Irrigation,638104009201,6.95,4.17
,AACHF2,Active Aqua,AA Chiller Fitting Kit for AACH10,Pumps & Irrigation,638104009188,6.95,4.17
,AACHF3,Active Aqua,AA Chiller Fitting Kit: for AACH25 & AACH50,Pumps & Irrigation,638104009164,8.95,5.37
,AACHF4,Active Aqua,AA Chiller Fitting Kit for AACH25 & AACH50,Pumps & Irrigation,638104009140,8.95,5.37
,AACHF5,Active Aqua,AA Chiller Fitting Kit for AACH50,Pumps & Irrigation,638104009126,10.95,6.57
,AACHF6,Active Aqua,AA Chiller Fitting kit for AACH100,Pumps & Irrigation,638104000628,14.95,8.97
,AADHC100P,Active Air,Commercial 100 Pint Dehumidifier,Ventilation,638104012041,789.95,513.47
,AADHC180P,Active Air,Commercial 180 Pint Dehumidifier,Ventilation,638104012034,1195.95,777.37
,AADHC60P,Active Air,Commercial 60 Pint Dehumidifier,Ventilation,638104012096,549.95,357.47
,AAEFBK2,Active Aqua,ActiveAqua 1/2in Fill/Drain Fit,Hydro Components,10638104012833,16.95,10.17
,AAEFBK3,Active Aqua,ActiveAqua 3/4in Fill/Drain Fit,Hydro Components,10638104012826,18.95,11.37
,AAEFBK4,Active Aqua,Active Aqua 1in Fill/Drain Fit,Hydro Components,10638104012819,19.95,11.97
,AAEFEX1,Active Aqua,Active Aqua Extension Fitting,Hydro Components,10638104012796,5.95,3.57
,AAEFSC1,Active Aqua,Active Aqua Screen Fitting,Hydro Components,10638104012802,5.95,3.57
,AAEFWA1,Active Aqua,Active Aqua Washer Fitting,Hydro Components,10638104012789,3.95,2.37
,AAEL100,Active Aqua,1in Elbow Connector,Pumps & Irrigation,638104005265,0.97,4.7
,AAEL50,Active Aqua,1/2in Elbow Connector,Pumps & Irrigation,638104005289,0.36,2.45
,AAEL75,Active Aqua,3/4in Elbow Connectors,Pumps & Irrigation,638104005272,0.75,3.75
,AAHR22W,Active Aqua,Flood Table 2x2 Premium White,Hydro Components,638104014892,59.59,32.97
,AAHR24W,Active Aqua,Flood Table 2x4 Premium White,Hydro Components,638104014908,81.95,45.07
,AAHR33W,Active Aqua,Flood Table 3x3 Premium White,Hydro Components,638104014915,115.95,63.77
,AAHR36W,Active Aqua,Flood Table 3x6 Premium White,Hydro Components,638104014939,187.95,103.37
,AAHR44W,Active Aqua,Flood Table 4x4 Premium White,Hydro Components,638104014922,147.95,81.37
,AAHR84W,Active Aqua,Flood Table 8x4 Premium White,Hydro Components,638104014946,279.95,153.97
,AAKDRIP6,Active Aqua,Active Aqua Top Drip Kit,Hydro Components,638104011303,14.95,8.97
,AAKEF1,Active Aqua,Active Aqua Ebb and Flow Kit,Hydro Components,638104011297,9.95,5.97
,AAKEF2,Active Aqua,Active Aqua Fill/Drain Combo Kit,Hydro Components,638104012775,5.95,3.57
,AALR24B,Active Aqua,Low Rise Flood Table 2x4',Hydro Components,638104014830,49.95,27.47
,AALR33B,Active Aqua,Low Rise Flood Table 3x3',Hydro Components,638104014823,54.95,30.22
,AALR44B,Active Aqua,Low Rise Flood Table 4x4',Hydro Components,638104014816,79.95,43.97
,AALR84B,Active Aqua,Low Rise Flood Table 4x8',Hydro Components,638104014809,154.95,85.22
,AAPA110L,Active Aqua,Air Pump 12 Outlets 112W 110L/min (4/cs),Pumps & Irrigation,638104000611,104.95,62.97
,AAPA15L,Active Aqua,Air Pump 4 Outlets 6W 15L/min (16/cs),Pumps & Irrigation,638104000536,27.95,16.77
,AAPA25L,Active Aqua,Air Pump 8 Outlets 12W 25L/min (8/cs),Pumps & Irrigation,638104000550,59.95,35.97
,AAPA3.2L,Active Aqua,Air Pump 1 Outlet 2W 3.2L/min (40/cs),Pumps & Irrigation,638104000499,9.95,5.97
,AAPA45L,Active Aqua,Air Pump 6 Outlets 20W 45L min (12/cs),Pumps & Irrigation,638104000581,48.95,29.37
,AAPA7.8L,Active Aqua,Air Pump 2 Outlets 3W 7.8L/min (30/cs),Pumps & Irrigation,638104000512,14.95,8.97
,AAPA70L,Active Aqua,Air Pump 8 Outlets 60W 70L min (8/cs),Pumps & Irrigation,638104000598,59.95,35.97
,AAPADIV12,Active Aqua,12 Outlet Copper Air Divider,Pumps & Irrigation,638104005111,10.95,6.57
,AAPADIV6,Active Aqua,6 Outlet Copper Air Divider,Pumps & Irrigation,638104005135,6.95,4.17
,AAPADIV8,Active Aqua,8 Outlet Copper Air Divider,Pumps & Irrigation,638104005159,8.95,5.37
,AAPADIVP12,Active Aqua,Air Divider Plastic 12 Outlets,Pumps & Irrigation,638104007306,4.95,2.98
,AAPADIVP4,Active Aqua,Air Divider Plastic 4 Outlets,Pumps & Irrigation,638104007276,1.55,0.94
,AAPADIVP6,Active Aqua,Air Divider Plastic 6 Outlets,Pumps & Irrigation,638104007290,2.95,1.78
,AAPADIVP8,Active Aqua,Air Divider Plastic 8 Outlets,Pumps & Irrigation,638104007283,3.55,2.14
,AAPB10,Active Aqua,10in Pump Bag 10.5 x 13.125 ,Pumps & Irrigation,638104003360,11.95,7.18
,AAPB6,Active Aqua,6in Pump Bag 6.75 x 9.375,Pumps & Irrigation,638104003353,9.95,5.98
